41245, 26267, 43908, 38914, 36957, 24532, 19696, 52346, 49874, 47993, 
87544, 105737, 68564, 40293, 35486, 48494, 74264, 93618, 79145, 98034, 
121932, 59383, 52424, 55356, 48389, 48694, 84217, 61690, 62244, 86515, 
128835, 103513, 105655, 100881, 145347, 169408, 157399, 151607, 111696, 109933, 
148625, 131410, 155475, 184807, 216211, 195247, 169383, 239193, 265484, 229991, 
208368, 160247, 115652, 116288, 127052, 146887, 129841, 162230, 285412, 252332, 
240150, 210482, 227043, 296736, 203361, 178100, 177181, 165664, 155352, 153084, 
252434, 207180, 175965, 169053, 264736, 166839, 192315, 186719, 269915, 262329, 
236276, 298219, 267725, 206445, 226973, 226465, 196232, 195780, 230972, 299894, 
223562, 247464, 292769, 240586, 218009, 266351, 265860, 241895, 226411, 206396, 
